classif;time;pontos;jogos;v;e;d;gm;gs;sg
1;Cruzeiro;76;38;23;7;8;77;37;40
2;Gremio;65;38;18;11;9;42;35;7
3;Atletico-PR;64;38;18;10;10;65;49;16
4;Botafogo;61;38;17;10;11;55;41;14
5;Vitoria;59;38;16;11;11;59;53;6
6;Goias;59;38;16;11;11;48;44;4
7;Santos;57;38;15;12;11;51;38;13
8;Atletico-MG;57;38;15;12;11;49;38;11
9;Sao Paulo;50;38;14;8;16;39;40;-1
10;Corinthians;50;38;11;17;10;27;22;5
11;Flamengo;49;38;12;13;13;43;46;-3
12;Portuguesa;48;38;12;12;14;50;46;4
13;Coritiba;48;38;12;12;14;42;45;-3
14;Bahia;48;38;12;12;14;37;45;-8
15;Internacional;48;38;11;15;12;51;52;-1
16;Criciuma;46;38;13;7;18;49;63;-14
17;Fluminense;46;38;12;10;16;43;47;-4
18;Vasco;44;38;11;11;16;50;61;-11
19;Ponte;37;38;9;10;19;37;55;-18
20;Nautico;20;38;5;5;28;22;79;-57
